time,open,high,low,close,volume,spread,real_volume
2025-10-29 19:45:00,3992.09,3995.2,3991.49,3994.8,379,16,0
2025-10-29 19:50:00,3994.78,3995.9,3993.25,3995.21,367,16,0
2025-10-29 19:55:00,3995.2,3995.83,3993.77,3994.68,345,16,0
2025-10-29 20:00:00,3994.59,4006.87,3979.12,3993.77,598,11,0
2025-10-29 20:05:00,3994.49,3997.47,3986.6,3993.16,556,14,0
2025-10-29 20:10:00,3993.49,3993.49,3982.55,3983.0,502,16,0
2025-10-29 20:15:00,3983.33,3989.58,3983.33,3987.68,481,16,0
2025-10-29 20:20:00,3987.54,3989.26,3980.48,3981.71,477,5,0
2025-10-29 20:25:00,3981.39,3983.61,3976.62,3981.04,499,12,0
2025-10-29 20:30:00,3981.05,3989.33,3978.23,3985.59,535,5,0
2025-10-29 20:35:00,3985.58,3986.71,3951.49,3951.49,686,5,0
2025-10-29 20:40:00,3952.06,3957.51,3943.03,3953.91,614,5,0
2025-10-29 20:45:00,3954.64,3962.93,3948.27,3950.98,570,16,0
2025-10-29 20:50:00,3951.01,3960.37,3950.26,3956.66,553,5,0
2025-10-29 20:55:00,3956.48,3972.68,3956.48,3969.38,522,5,0
2025-10-29 21:00:00,3969.5,3979.57,3953.62,3955.68,562,5,0
2025-10-29 21:05:00,3955.63,3968.83,3955.63,3963.66,531,17,0
2025-10-29 21:10:00,3963.89,3971.64,3962.09,3969.99,522,17,0
2025-10-29 21:15:00,3970.56,3972.43,3964.57,3965.52,508,17,0
2025-10-29 21:20:00,3965.48,3974.17,3957.44,3959.84,532,6,0
2025-10-29 21:25:00,3959.85,3967.21,3951.29,3953.34,520,14,0
2025-10-29 21:30:00,3953.48,3954.49,3938.63,3946.72,547,17,0
2025-10-29 21:35:00,3946.77,3946.88,3939.21,3939.59,522,5,0
2025-10-29 21:40:00,3940.1,3941.67,3928.04,3928.97,533,5,0
2025-10-29 21:45:00,3929.09,3944.79,3929.09,3941.86,528,13,0
2025-10-29 21:50:00,3941.96,3949.32,3941.8,3945.29,517,16,0
2025-10-29 21:55:00,3945.17,3947.59,3943.45,3945.78,499,16,0
2025-10-29 22:00:00,3945.54,3949.21,3936.19,3942.15,514,5,0
2025-10-29 22:05:00,3942.23,3942.76,3932.63,3938.58,481,6,0
2025-10-29 22:10:00,3938.6,3943.76,3935.52,3941.59,414,16,0
2025-10-29 22:15:00,3941.28,3942.17,3937.1,3938.78,388,16,0
2025-10-29 22:20:00,3938.78,3952.72,3937.15,3951.61,402,16,0
2025-10-29 22:25:00,3952.11,3954.03,3943.85,3948.53,468,16,0
2025-10-29 22:30:00,3948.7,3950.11,3944.75,3946.48,412,17,0
2025-10-29 22:35:00,3946.41,3947.39,3943.3,3944.6,351,14,0
2025-10-29 22:40:00,3944.61,3945.68,3935.26,3936.17,400,13,0
2025-10-29 22:45:00,3936.54,3941.18,3932.64,3933.81,406,12,0
2025-10-29 22:50:00,3933.66,3933.77,3928.02,3929.47,393,6,0
2025-10-29 22:55:00,3929.09,3930.94,3927.89,3930.07,381,50,0
2025-10-30 00:00:00,3927.13,3930.58,3916.16,3922.17,823,16,0
2025-10-30 00:05:00,3922.22,3935.3,3917.3,3930.5,403,5,0
2025-10-30 00:10:00,3930.44,3939.96,3930.27,3938.34,369,5,0
2025-10-30 00:15:00,3937.9,3945.08,3930.44,3931.08,428,10,0
2025-10-30 00:20:00,3931.09,3932.98,3925.21,3932.98,398,17,0
2025-10-30 00:25:00,3932.97,3940.72,3932.31,3937.56,364,8,0
2025-10-30 00:30:00,3937.57,3937.73,3931.39,3935.38,389,17,0
2025-10-30 00:35:00,3935.35,3940.37,3934.6,3939.08,373,6,0
2025-10-30 00:40:00,3938.94,3942.43,3937.74,3941.42,386,16,0
2025-10-30 00:45:00,3941.42,3948.33,3940.57,3946.34,401,16,0
2025-10-30 00:50:00,3946.32,3946.97,3942.81,3944.23,359,17,0
2025-10-30 00:55:00,3944.23,3946.0,3940.74,3941.41,358,17,0
2025-10-30 01:00:00,3941.3,3943.15,3939.56,3942.73,383,16,0
2025-10-30 01:05:00,3942.54,3948.44,3941.53,3942.12,397,16,0
2025-10-30 01:10:00,3942.12,3947.12,3941.79,3946.1,356,16,0
