time,close,signal,position,strategy_returns,osc,heat_zone,wma,cumulative
2025-10-24 14:30:00,4058.47,sell,-0.6666666666666667,-0.00015118834863701438,-139.84248641175265,-2.0,4095.4444932497536,7.301681326664595
2025-10-24 14:45:00,4061.4,hold,0.0,0.0002103490067993255,-126.57168907131022,-2.0,4094.8198622106997,7.303217228079624
2025-10-24 15:00:00,4062.14,sell,0.0,-0.0004924410301866351,-121.77031494507767,-2.0,4094.259112432433,7.299620824264151
2025-10-24 15:15:00,4061.48,sell,-0.6666666666666667,0.00023961097680859982,-122.91223012779669,-2.0,4093.733152483375,7.301369893540185
2025-10-24 15:30:00,4083.18,hold,0.0,0.00021006989747600124,-33.34008931460461,-2.0,4092.005054961397,7.302903691565156
2025-10-24 15:45:00,4082.03,sell,0.0,0.000783702898231236,-35.17002192802655,-2.0,4091.278801346501,7.308626998353739
2025-10-24 16:00:00,4111.42,buy,0.0,0.0007839236850292178,70.54798238682314,2.0,4092.6723675165786,7.314356404162791
2025-10-24 16:15:00,4114.08,buy,0.0,0.0007783198992075288,82.26720577055875,2.0,4092.184418649754,7.3200493133020474
2025-10-24 16:30:00,4105.66,buy,0.0,0.0007778166686111641,55.8468040886275,2.0,4090.7722472724454,7.32574296967299
2025-10-24 16:45:00,4106.9,buy,0.0,0.0007794118363429554,64.95537060083166,2.0,4089.832196910184,7.3314527404535585
2025-10-24 17:00:00,4131.98,buy,0.0,0.0007791765078282448,153.06964555481937,2.0,4092.0839275825915,7.337165236197173
2025-10-24 17:15:00,4123.66,buy,0.33333333333333337,-0.00034850120281315156,120.58851630526746,2.0,4092.3563064637992,7.334608225287119
2025-10-24 17:30:00,4129.54,hold,0.0,0.00015488942347252998,142.5267587345601,2.0,4092.7509930354354,7.335744278526532
2025-10-24 17:45:00,4117.38,buy,0.6666666666666667,-0.0018339411492158946,92.7509679321624,2.0,4093.5482880466066,7.322290955234017
2025-10-24 18:00:00,4118.65,hold,0.0,0.00020664125624979295,98.25671802201094,2.0,4093.483998096612,7.323804042635633
2025-10-24 18:15:00,4125.57,buy,0.0,0.0007769536134412535,123.63836564860739,2.0,4093.9544335199944,7.329494298650694
2025-10-24 18:30:00,4127.01,buy,0.0,0.0007756503949756805,131.40412752319895,2.0,4093.463183263965,7.335179423798414
2025-10-24 18:45:00,4130.33,buy,0.0,0.0007753797543499575,143.27821727377122,2.0,4093.806949634743,7.3408669734181515
2025-10-24 19:00:00,4133.07,buy,0.0,0.0007747564964542344,153.03139040669387,2.0,4094.1487613209133,7.346554357795413
2025-10-24 19:15:00,4136.43,buy,0.0,0.000774242875150873,168.71246865428995,2.0,4094.143906856489,7.352242375163845
2025-10-24 19:30:00,4130.79,buy,0.0,-0.00048350872612373466,146.46523130698895,2.0,4094.394708207295,7.348687501818877
2025-10-24 19:45:00,4129.26,buy,0.6666666666666667,-0.00011781442936254475,142.25804827199167,2.0,4094.1719101356653,7.347821720394287
2025-10-24 20:00:00,4126.0,hold,0.0,0.0005164468136441728,128.5400375767601,2.0,4094.513346555347,7.351616479509011
2025-10-24 20:15:00,4120.99,buy,0.0,-0.0004847309743092584,107.9228381240639,2.0,4094.650352127441,7.348052923290151
2025-10-24 20:30:00,4112.11,buy,0.33333333333333337,-0.0003947271569857578,70.52942921569502,2.0,4094.9340386325307,7.34515244725036
2025-10-24 20:45:00,4107.54,hold,0.0,0.0001553024879943956,51.765664968684696,2.0,4094.9756966271257,7.346293167700115
2025-10-24 21:00:00,4104.54,buy,0.6666666666666667,-0.0003570669224563896,39.930465442313896,2.0,4094.88944539004,7.343670049407262
2025-10-24 21:15:00,4105.93,hold,0.0,0.0005193700690274988,45.99459460202829,2.0,4094.8158201657716,7.347484131827738
2025-10-24 21:30:00,4107.07,buy,0.0,0.0007793605833513522,47.36424465960351,2.0,4095.7228058141645,7.353210471346883
2025-10-24 21:45:00,4110.45,buy,0.0,0.0007791442561241514,60.85434746448664,2.0,4096.036769511731,7.358939683049706
2025-10-24 22:00:00,4114.46,buy,0.0,0.0007785035701686721,76.84508720342863,2.0,4096.332243928711,7.364668643865616
2025-10-24 22:15:00,4113.1,buy,0.33333333333333337,0.00021387982870171943,71.63319130694777,2.0,4096.428664120752,7.366243797933611
2025-10-24 22:30:00,4109.42,hold,0.0,0.00015554896632851561,55.29719171809522,2.0,4096.6113455907625,7.367389609542103
2025-10-24 22:45:00,4103.9,buy,0.0,-0.00048668668571233897,30.223979759243445,2.0,4096.94395105841,7.363803999110683
2025-10-24 23:00:00,4100.07,buy,0.0,-0.0004873413094860986,13.291366747288178,2.0,4097.033826511183,7.360215313226957
2025-10-24 23:15:00,4099.96,buy,0.6666666666666667,0.00011219320645753514,8.235762454114647,2.0,4098.103535606406,7.361041079383167
2025-10-24 23:30:00,4108.78,hold,0.0,0.0005203163198026406,30.660289651435896,2.0,4101.8971942173075,7.364871149187508
2025-10-24 23:45:00,4112.21,buy,0.0,0.0007788199903620584,45.501013963530085,2.0,4102.101221731778,7.370607058064936
2025-10-27 00:00:00,4105.11,buy,0.0,-0.0004863564847125998,10.909160050406753,2.0,4102.659289922156,7.367022315525977
2025-10-27 00:15:00,4091.87,sell,0.0,0.0007795162614399659,-51.112785121988466,-2.0,4103.353100531076,7.3727650292193205
2025-10-27 00:30:00,4080.38,sell,0.0,0.0007820385300607836,-100.90489077755272,-2.0,4103.1294112453625,7.378530815545255
2025-10-27 00:45:00,4081.68,sell,0.0,0.0007842406834657111,-95.61199727423988,-2.0,4103.227502153712,7.384317359595011
2025-10-27 01:00:00,4082.48,sell,-0.33333333333333337,0.000261330301901852,-92.34859154386857,-2.0,4103.222601843851,7.386247105479933
2025-10-27 01:15:00,4074.84,hold,0.0,0.0002613303019018165,-129.54080010338197,-2.0,4103.768274234287,7.38817735566593
2025-10-27 01:30:00,4067.54,sell,0.0,0.0007853069077558427,-161.78120208154226,-2.0,4103.620605469428,7.393979342379061
