time,open,high,low,close,tick_volume,spread,real_volume,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,returns,position,strategy_returns,cumulative
2025-08-07 01:00:00,3372.59,3374.8,3371.48,3371.78,390,14,0,40.337423312884276,2.705999999999972,0.794900417131768,hold,NEUTRAL,1.0,,,0.0010034437715236155,-1,-0.0010034437715236155,1.5974959931371004
2025-08-07 01:15:00,3371.79,3372.42,3369.93,3371.4,665,15,0,41.63588390501332,2.675499999999988,0.7845120806943391,hold,NEUTRAL,1.0,,,-0.00011270011685227121,-1,0.00011270011685227121,1.5976760311221978
2025-08-07 01:30:00,3371.31,3372.4,3370.24,3371.95,510,16,0,56.11702127659455,2.65300000000002,0.7787823636470381,hold,NEUTRAL,1.0,,,0.0001631369757371104,-1,-0.0001631369757371104,1.597415391086273
2025-08-07 01:45:00,3372.0,3372.45,3370.67,3372.09,547,17,0,57.97297297297306,2.6115000000000235,0.7752018522916198,hold,NEUTRAL,1.0,,,4.1519002357714996e-05,-1,-4.1519002357714996e-05,1.5973490679928841
2025-08-07 02:00:00,3372.03,3372.03,3368.8,3370.36,600,15,0,41.54411764706033,2.5995000000000346,0.7667689221874887,hold,NEUTRAL,1.0,,,-0.0005130349427210357,-1,0.0005130349427210357,1.5981685638804872
2025-08-07 02:15:00,3370.3,3371.32,3368.73,3368.97,496,13,0,40.58908045976985,2.5420000000000527,0.7570433021621421,hold,NEUTRAL,1.0,,,-0.0004124188513987548,-1,0.0004124188513987548,1.5988276787239444
2025-08-07 02:30:00,3368.98,3369.42,3367.76,3368.7,535,14,0,41.42228739002957,2.437000000000057,0.7389326864766674,hold,NEUTRAL,1.0,,,-8.014318916460539e-05,-1,8.014318916460539e-05,1.598955813873042
2025-08-07 02:45:00,3368.7,3370.71,3368.55,3370.12,703,5,0,44.513888888889696,2.447500000000036,0.7473738854281257,hold,NEUTRAL,1.0,,,0.0004215275922463402,-1,-0.0004215275922463402,1.5982818098787117
2025-08-07 03:00:00,3370.26,3370.65,3365.3,3369.9,838,5,0,43.37931034482776,2.4910000000000307,0.7533873699491959,hold,NEUTRAL,1.0,,,-6.527957461444078e-05,-1,6.527957461444078e-05,1.5983861450353745
2025-08-07 03:15:00,3369.86,3372.99,3369.19,3372.38,995,7,0,52.140309155767625,2.60150000000001,0.7914030177658822,hold,NEUTRAL,1.0,,,0.0007359268821032217,-1,-0.0007359268821032217,1.5972098497032616
2025-08-07 03:30:00,3372.49,3374.9,3371.55,3371.55,1085,5,0,54.539800995024756,2.6194999999999937,0.7984333089490351,hold,NEUTRAL,1.0,,,-0.0002461169856302625,-1,0.0002461169856302625,1.5976029501768896
2025-08-07 03:45:00,3371.59,3373.36,3370.1,3372.4,1022,12,0,61.58770806658036,2.6299999999999955,0.8003164749558749,buy,BULLISH,1.0,3368.455,3380.29,0.00025210956385035566,1,0.00025210956385035566,1.5980057211598646
2025-08-07 04:00:00,3372.37,3376.89,3370.29,3376.32,1118,5,0,73.7472766884531,2.882999999999993,0.8533120227313075,buy,STRONG_BULLISH,1.0,3371.9955,3384.969,0.0011623769422370867,1,0.0011623769422370867,1.5998632061637037
2025-08-07 04:15:00,3376.41,3378.53,3375.11,3378.03,1031,5,0,74.98702646600906,2.938000000000011,0.8614320060986381,buy,STRONG_BULLISH,1.0,3373.623,3386.844,0.0005064685811770886,1,0.0005064685811770886,1.6006734866118069
2025-08-07 04:30:00,3378.04,3382.04,3377.63,3381.71,977,5,0,75.37046499744444,3.0934999999999944,0.9076638694912286,buy,STRONG_BULLISH,1.0,3377.06975,3390.9905,0.0010893923381378734,1,0.0010893923381378734,1.6024172480439822
2025-08-07 04:45:00,3381.69,3382.44,3379.66,3382.28,917,17,0,77.5303643724696,3.149000000000001,0.9366448542534239,buy,STRONG_BULLISH,1.0,3377.5565,3391.7270000000003,0.00016855377900526491,1,0.00016855377900526491,1.6026873415266834
2025-08-07 05:00:00,3382.31,3384.22,3380.4,3381.86,925,6,0,75.24197656647995,3.2254999999999883,0.9597988454442665,buy,STRONG_BULLISH,1.0,3377.0217500000003,3391.5365,-0.00012417659093866273,1,-0.00012417659093866273,1.602488325276272
